station_id,model,mae,rmse,r2
Kunlun,tcn,1.905276210331785,3.149265359487142,0.988373047138104
Kunlun,arima,1.950138627240837,3.4743418161157296,0.9858488255037045
Kunlun,naive_persistence,2.0606056396259764,3.684972967718868,0.98408099159535
Kunlun,tft_pinn,2.409607227423887,3.910593980275277,0.9820719582764944
Kunlun,tft,2.343892469181564,3.9666199199441072,0.9815545788116276
Kunlun,naive_seasonal,3.2349599864573366,5.328929879186775,0.966708956315093
Taishan,tcn,1.5941585850980502,2.274410183487628,0.9900216445791856
Taishan,tft,1.7319650436973368,2.4840650601753382,0.9880972498014976
Taishan,tft_pinn,1.8738379869165225,2.6015821980063065,0.9869444103601088
Taishan,arima,1.927604059295839,2.776480896320771,0.9851300069356068
Taishan,naive_persistence,2.0456631916465216,2.8650696354731835,0.9841659595309794
Taishan,naive_seasonal,3.2724340249798547,4.52706082430373,0.9604675212768524
Zhongshan,tcn,1.894879823941844,2.6471025606619136,0.9344978258724383
Zhongshan,tft_pinn,2.037410738921222,2.888583654932222,0.9220018902611308
Zhongshan,tft,2.008425359423859,2.9095341705864657,0.9208663672692698
Zhongshan,arima,2.11495785249985,2.947638346329258,0.9187800768371692
Zhongshan,naive_persistence,2.2673168836093804,3.221818132720676,0.9029677232370568
Zhongshan,naive_seasonal,3.519157430315044,4.750666998426084,0.7890287104555025
