horizon,target,mae,rmse,r2,model
1,temperature_c,0.6046622232704921,1.6078824541355552,0.8275059693740429,tft
1,wind_speed_ms,0.21723518675061673,0.6733978849794476,0.8316971223414564,tft
2,temperature_c,0.717557937177153,2.0512681643070017,0.7187391168462183,tft
2,wind_speed_ms,0.2750640751005239,0.9147262457213565,0.6894280248979976,tft
4,temperature_c,0.9521851686493923,2.637527237373686,0.5341006387208143,tft
4,wind_speed_ms,0.3697511772909543,1.3806241931444485,0.29221269868209443,tft
8,temperature_c,1.255460323938095,3.1776679235426744,0.32027297163582813,tft
8,wind_speed_ms,0.5256511090479816,1.707509048152956,-0.0828572828700822,tft
