horizon,target,mae,rmse,r2,model
1,temperature_c,0.22957480989987128,1.1742886630201028,0.9079941981953483,arima
1,wind_speed_ms,0.20121164993389465,0.6879425506030038,0.8243482867486664,arima
2,temperature_c,0.3827719114298141,1.635139093063542,0.821279710161176,arima
2,wind_speed_ms,0.2723218090028234,0.9206922667521147,0.6853635928110413,arima
4,temperature_c,0.6082368960454683,2.2335369693975182,0.6658938274829764,arima
4,wind_speed_ms,0.3599824237989116,1.2535824184089965,0.4164775187317137,arima
8,temperature_c,0.8827850813678931,2.859633847210977,0.4495240155053387,arima
8,wind_speed_ms,0.4416069554004494,1.588002333166243,0.06341442048639756,arima
