horizon,target,mae,rmse,r2,model
1,temperature_c,0.21747246320778288,1.185835538631163,0.9061759011876962,naive_persistence
1,wind_speed_ms,0.19921336357678263,0.7105784611719145,0.8125989051055645,naive_persistence
2,temperature_c,0.3644804506722168,1.6720493382519983,0.8131200827788208,naive_persistence
2,wind_speed_ms,0.26798871330304336,0.9696478034287049,0.6510139884081574,naive_persistence
4,temperature_c,0.5935686553147859,2.3245601163173633,0.6381073415755663,naive_persistence
4,wind_speed_ms,0.36739731572896067,1.3837664741915296,0.28898720458258753,naive_persistence
8,temperature_c,0.8872491908939415,3.0364683312500707,0.3793381790705934,naive_persistence
8,wind_speed_ms,0.4748638306739353,1.8557810519808724,-0.2790828226893862,naive_persistence
