horizon,target,mae,rmse,r2,model,station_id
1,temperature_c,0.8920567026310308,3.0396980672149216,0.383509522177918,naive_seasonal,Cape Hallett
1,wind_speed_ms,0.4766572579039823,1.856479283932513,-0.27916998503004287,naive_seasonal,Cape Hallett
2,temperature_c,0.940503074538795,3.1451406885696596,0.33878208677055444,naive_seasonal,Cape Hallett
2,wind_speed_ms,0.4944614121680797,1.9309157861123234,-0.38390618328986514,naive_seasonal,Cape Hallett
4,temperature_c,1.0182265054319277,3.3125676556128267,0.26510088790834785,naive_seasonal,Cape Hallett
4,wind_speed_ms,0.5286720633412841,2.054224845762408,-0.566923388637909,naive_seasonal,Cape Hallett
8,temperature_c,1.040077607553264,3.3661779986978924,0.2372333903027345,naive_seasonal,Cape Hallett
8,wind_speed_ms,0.5623825198373201,2.204561601352851,-0.8050518093938428,naive_seasonal,Cape Hallett
1,temperature_c,0.21747246320778288,1.185835538631163,0.9061759011876962,naive_persistence,Cape Hallett
1,wind_speed_ms,0.19921336357678263,0.7105784611719145,0.8125989051055645,naive_persistence,Cape Hallett
2,temperature_c,0.3644804506722168,1.6720493382519983,0.8131200827788208,naive_persistence,Cape Hallett
2,wind_speed_ms,0.26798871330304336,0.969647803428705,0.6510139884081574,naive_persistence,Cape Hallett
4,temperature_c,0.5935686553147859,2.3245601163173633,0.6381073415755663,naive_persistence,Cape Hallett
4,wind_speed_ms,0.36739731572896067,1.3837664741915296,0.28898720458258753,naive_persistence,Cape Hallett
8,temperature_c,0.8872491908939415,3.0364683312500707,0.3793381790705934,naive_persistence,Cape Hallett
8,wind_speed_ms,0.4748638306739353,1.8557810519808724,-0.2790828226893862,naive_persistence,Cape Hallett
1,temperature_c,0.22957480989987128,1.1742886630201028,0.9079941981953483,arima,Cape Hallett
1,wind_speed_ms,0.20121164993389465,0.6879425506030038,0.8243482867486664,arima,Cape Hallett
2,temperature_c,0.3827719114298141,1.635139093063542,0.821279710161176,arima,Cape Hallett
2,wind_speed_ms,0.2723218090028234,0.9206922667521147,0.6853635928110413,arima,Cape Hallett
4,temperature_c,0.6082368960454683,2.2335369693975182,0.6658938274829764,arima,Cape Hallett
4,wind_speed_ms,0.3599824237989116,1.2535824184089963,0.4164775187317138,arima,Cape Hallett
8,temperature_c,0.8827850813678931,2.859633847210977,0.4495240155053387,arima,Cape Hallett
8,wind_speed_ms,0.4416069554004494,1.588002333166243,0.06341442048639756,arima,Cape Hallett
1,temperature_c,0.5049095785669299,1.2430376287706522,0.8969058482678747,tcn,Cape Hallett
1,wind_speed_ms,0.3254337937880461,0.6663583814881833,0.8351975078026108,tcn,Cape Hallett
2,temperature_c,0.6492456400336435,1.6116791320037251,0.8263712567082524,tcn,Cape Hallett
2,wind_speed_ms,0.323801424691481,0.83653613065022,0.7402536879889793,tcn,Cape Hallett
4,temperature_c,0.8764226356999544,2.1167933014471023,0.6999075192684636,tcn,Cape Hallett
4,wind_speed_ms,0.3387724053168427,1.1646335266689711,0.4963482074866672,tcn,Cape Hallett
8,temperature_c,1.1089832259042325,2.5495426222838895,0.5624355074442073,tcn,Cape Hallett
8,wind_speed_ms,0.43050462635175774,1.5094346193481725,0.153798467998005,tcn,Cape Hallett
1,temperature_c,1.0254110802495258,9.121537258840009,-4.551387602115405,tabular_gbrt,Cape Hallett
1,wind_speed_ms,0.47703813460937267,7.068698080262949,-17.545003104946368,tabular_gbrt,Cape Hallett
2,temperature_c,1.864984703006941,17.485884461092894,-19.438059790821683,tabular_gbrt,Cape Hallett
2,wind_speed_ms,0.8406226748542999,8.86505657527659,-28.17044178949168,tabular_gbrt,Cape Hallett
4,temperature_c,2.5073303106654494,21.280693763704658,-29.32981580673718,tabular_gbrt,Cape Hallett
4,wind_speed_ms,0.8139828716598275,6.329084959860811,-13.87420144106456,tabular_gbrt,Cape Hallett
8,temperature_c,2.7992643886793043,24.382425674111907,-39.01947041353422,tabular_gbrt,Cape Hallett
8,wind_speed_ms,1.58555153301886,11.544772134369643,-48.5012225749995,tabular_gbrt,Cape Hallett
1,temperature_c,0.5339997727680167,1.6045174544694227,0.8282272098787757,tft_pinn,Cape Hallett
1,wind_speed_ms,0.26630963862069895,0.6925259919930535,0.8219999182693211,tft_pinn,Cape Hallett
2,temperature_c,0.6837944406248622,1.9638686898601376,0.7421961796261728,tft_pinn,Cape Hallett
2,wind_speed_ms,0.3325674177902281,0.8760618266433043,0.7151281753658376,tft_pinn,Cape Hallett
4,temperature_c,0.9307949005689006,2.549030654671784,0.5648406440997373,tft_pinn,Cape Hallett
4,wind_speed_ms,0.3889388452212714,1.28857336574504,0.38344743542270376,tft_pinn,Cape Hallett
8,temperature_c,1.140914813313926,2.977338130657728,0.40327554279559896,tft_pinn,Cape Hallett
8,wind_speed_ms,0.5328473929915883,1.729339927366706,-0.11072342639508181,tft_pinn,Cape Hallett
1,temperature_c,0.6046622232704921,1.6078824541355552,0.8275059693740429,tft,Cape Hallett
1,wind_speed_ms,0.21723518675061673,0.6733978849794476,0.8316971223414564,tft,Cape Hallett
2,temperature_c,0.717557937177153,2.051268164307001,0.7187391168462183,tft,Cape Hallett
2,wind_speed_ms,0.2750640751005239,0.9147262457213565,0.6894280248979976,tft,Cape Hallett
4,temperature_c,0.9521851686493923,2.637527237373686,0.5341006387208143,tft,Cape Hallett
4,wind_speed_ms,0.3697511772909543,1.3806241931444485,0.29221269868209443,tft,Cape Hallett
8,temperature_c,1.255460323938095,3.1776679235426744,0.32027297163582813,tft,Cape Hallett
8,wind_speed_ms,0.5256511090479816,1.707509048152956,-0.0828572828700822,tft,Cape Hallett
