budget,seed,dqn_loss,source_ppo_loss,validation_static_loss,round_robin_loss,aoi_loss,random_loss,best_non_dqn_policy,best_non_dqn_loss,win_source_ppo,win_validation_static,win_round_robin,win_aoi,win_best_non_dqn,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,switches_per_step
1.65,41,0.11921415208962571,0.11756132644586614,0.1449439144222803,0.11476563250986753,0.11387266550930993,0.12072580956555612,aoi,0.11387266550930993,False,True,False,False,False,0.0,0.0,6.0,0.12107276574963373
1.65,42,0.14220525139656578,0.13909612967836438,0.13902079365743703,0.14209825686217906,0.1418499951590396,0.14775221291347407,validation_selected_static,0.13902079365743703,False,False,False,False,False,0.0,0.0,8.0,0.13783981767865863
1.65,43,0.14343822409743248,0.14407895868619866,0.17054712722286544,0.14030359639400558,0.1397654730250603,0.14385894725152562,aoi,0.1397654730250603,True,True,False,False,False,0.0,0.0,7.0,0.15269412339247926
1.7,41,0.13813975020760458,0.12376153111805858,0.13509769523989235,0.11575253463373276,0.11718128453776444,0.11982975158510574,round_robin,0.11575253463373276,False,False,False,False,False,0.0,0.0,8.0,0.16579846980302784
1.7,42,0.138514456590201,0.13620373215993217,0.1381867107071836,0.1369758749333414,0.14227339279568696,0.1443818318190703,round_robin,0.1369758749333414,False,False,False,True,False,0.0,0.0,8.0,0.2026697053556894
1.7,43,0.13978524047524843,0.13419247889639033,0.14433249196978673,0.13460702570652452,0.1340040317521319,0.13728028680270654,aoi,0.1340040317521319,False,True,False,False,False,0.0,0.0,8.0,0.2333550382549243
