source,budget,seed,custom_ppo_loss,validation_static_loss,feasible_static_loss,round_robin_loss,aoi_loss,random_loss,best_original_fair_policy,best_original_fair_loss,best_constrained_policy,best_constrained_loss,win_validation_static,win_feasible_static,win_best_original_fair,win_best_constrained,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,switches_per_step
base_no_warmup,1.65,41,0.11756132644586614,0.1449439144222803,0.1449439144222803,0.11476563250986753,0.11701399028061132,0.12075264775406443,round_robin,0.11476563250986753,,,True,True,False,,,,,
base_no_warmup,1.65,42,0.13909612967836438,0.13902079365743703,0.13902079365743703,0.14209825686217906,0.14890269815805368,0.1512835850310997,validation_selected_static,0.13902079365743703,,,False,False,False,,,,,
base_no_warmup,1.65,43,0.14407895868619866,0.17054712722286544,0.17054712722286544,0.14030359639400558,0.13941243984057414,0.14465470663102073,aoi,0.13941243984057414,,,True,True,False,,1,3,4,0.16168810027673775
base_no_warmup,1.65,44,0.13842239429565475,0.1472516970200862,0.16572848858049838,0.14084837261179928,0.13433446157341677,0.13970934417617778,aoi,0.13433446157341677,,,True,True,False,,0,2,4,0.16433338759563731
base_no_warmup,1.65,45,0.13089699171268876,0.1601352189630537,0.1601352189630537,0.1278886504357312,0.13012408419581334,0.13394961155609053,round_robin,0.1278886504357312,,,True,True,False,,1,3,4,0.15159531173693636
base_no_warmup,1.65,46,0.14412667289555733,0.14914125937624098,0.14914125937624098,0.14294033157239028,0.14034477125157233,0.14750076470742593,aoi,0.14034477125157233,,,True,True,False,,1,3,4,0.23420966954256878
base_no_warmup,1.65,47,0.13469800134589605,0.14792320002864776,0.15964154651434606,0.12805229155704487,0.13461530263339228,0.1370542438511014,round_robin,0.12805229155704487,,,True,True,False,,1,3,4,0.1708855608009116
base_no_warmup,1.65,48,0.12263291579317108,0.1284920426357227,0.1284920426357227,0.11846356624785888,0.11679865280651332,0.1204755120864623,aoi,0.11679865280651332,,,True,True,False,,1,3,4,0.178658635845678
base_no_warmup,1.65,49,0.12057335159261129,0.1247289983596905,0.14668445622858903,0.11753778067244032,0.11495103987423742,0.11779685435067222,aoi,0.11495103987423742,,,True,True,False,,1,3,4,0.150822073905258
base_no_warmup,1.65,50,0.13033995077269842,0.13308296568478303,0.13308296568478303,0.12970034363358232,0.1281210833312798,0.13273118040190943,aoi,0.1281210833312798,,,True,True,False,,1,3,4,0.18968744912909002
base_no_warmup,1.7,41,0.12376153111805858,0.13483764955769098,0.14912930463500138,0.11569271854841645,0.11713776962430227,0.11980204552188904,round_robin,0.11569271854841645,,,True,True,False,,1,3,4,0.09246296597753541
base_no_warmup,1.7,42,0.13620373215993217,0.13985699440005797,0.13985699440005797,0.1368162148034268,0.1421904869342446,0.14423983337716587,round_robin,0.1368162148034268,,,True,True,True,,2,4,2,0.07927722611102067
base_no_warmup,1.7,43,0.13419247889639033,0.1442262834571011,0.1615820309937893,0.13452292897697285,0.13390967555430203,0.1371728728487748,aoi,0.13390967555430203,,,True,True,False,,1,3,4,0.149072114601986
base_no_warmup,1.7,44,0.1332958030567776,0.1560166792411716,0.1560166792411716,0.1349343971669441,0.13317881653711083,0.13738723654690452,aoi,0.13317881653711083,,,True,True,False,,1,3,4,0.12282272505290574
base_no_warmup,1.7,45,0.12826039823721658,0.15624916615767384,0.15624916615767384,0.12761003513393612,0.1276535630804574,0.1322434017699076,round_robin,0.12761003513393612,,,True,True,False,,1,3,4,0.1497639589776982
base_no_warmup,1.7,46,0.14718234931782112,0.1522750065475217,0.1522750065475217,0.1422199246865906,0.1417014598418973,0.1433112574571472,aoi,0.1417014598418973,,,True,True,False,,1,3,4,0.13332248087253784
