station_id,rows,temperature_c_mean,temperature_c_std,temperature_c_missing,pressure_hpa_mean,pressure_hpa_std,pressure_hpa_missing,wind_speed_ms_mean,wind_speed_ms_std,wind_speed_ms_missing,wind_dir_deg_mean,wind_dir_deg_std,wind_dir_deg_missing,relative_humidity_pct_mean,relative_humidity_pct_std,relative_humidity_pct_missing,cluster,pca1,pca2
A028,59320.0,-26.755510578247918,10.093543452623162,0.7792818610923803,799.559677109821,9.767474659737923,0.6486345246122724,10.692840497945669,4.127886645219218,0.7251011463250169,171.57676212112153,52.577964599625425,0.7180209035738369,68.70577740016992,9.455002336138138,0.8015846257585975,3,-2.8204574711452595,1.9535950466711751
AGO Site,5848.0,-26.418441678192714,9.252732612288089,0.25820793433652534,807.742729864576,9.507946880914945,0.04035567715458276,6.290777829529576,4.085272197628461,0.6328659370725034,118.72323759791122,140.456808035165,0.6070451436388509,69.24367468500381,11.900413577451879,1.0,3,-0.3110263723831104,0.06444990589051096
AGO-4,26296.0,-53.09926349206349,13.857252498212606,0.10157438393672041,617.4563181036131,9.200606761050244,0.005362032248250685,5.271371109462256,2.0230145227191274,0.02620170368116824,263.45165439027244,36.48271713876844,0.02422421661089139,51.72596090592989,7.2535615197052135,0.19067538789169455,2,-1.466370808951135,-4.767872782329149
AGO-5,1952.0,-59.94061561561561,8.681341456133543,0.3176229508196721,654.884418746196,8.923653070176544,0.15829918032786885,2.7142503097893433,1.0296509989853946,0.17315573770491804,241.30055658627086,41.984894807737135,0.1716188524590164,69.24367468500381,11.900413577451879,1.0,2,-1.910619300746563,-2.84959244366633
AGO-A81,2920.0,-42.197770154373934,13.190951524388431,0.401027397260274,721.4194750656169,10.068994849900578,0.3476027397260274,7.9880636604774535,2.506560546025592,0.3544520547945205,96.49072602013779,131.23643107703518,0.35376712328767124,69.24367468500381,11.900413577451879,1.0,2,-1.8301319109226528,-1.2043240032575655
AGO-A84,8520.0,-34.60500277932184,12.353512174930893,0.7888497652582159,754.5390283842795,8.661136240580335,0.7849765258215963,8.541773308957954,3.517149328071905,0.8715962441314554,79.95471014492753,33.441058355850906,0.8704225352112676,69.24367468500381,11.900413577451879,1.0,2,-4.32128604958389,1.7175455708552527
AM01,14072.0,-23.64277833821129,9.532476356276927,1.0,982.1074402053438,9.834903779388858,0.3909181353041501,7.399790968250837,3.889698633474795,0.6396389994314952,192.70925862658012,37.72476309913137,0.7919982944855031,69.24367468500381,11.900413577451879,1.0,3,-2.036966917590857,2.377488975465982
AM02,20312.0,-23.64277833821129,9.532476356276927,1.0,982.1491537106533,9.65337606809074,0.35717802284363925,5.5139521209575815,3.0996620977705387,0.4138932650649862,164.65655650730216,77.2700526608866,1.0,68.1344262295082,20.18115726253428,0.9699684915320993,3,-1.5420132267894588,2.34712147815209
AWS18,11984.0,-13.35661701620591,11.209993167123107,0.29973297730307075,980.2108625584501,11.163689000476259,0.0006675567423230974,2.9804930432346626,2.720886050527708,0.10639185580774366,164.65655650730216,77.2700526608866,1.0,83.1569957081545,13.039596816339964,0.008427903871829106,0,1.6219657901398024,-0.4252761475292971
AWS19,3368.0,-13.805639555714794,8.854998750951484,0.17131828978622327,977.5699999999999,9.45149550925803,0.002672209026128266,9.03883989145183,5.8985945837343765,0.12470308788598575,164.65655650730216,77.2700526608866,1.0,84.72420095408467,9.499645920984896,0.004156769596199525,0,1.548419857453223,-0.11428061176624867
AWS_A,2920.0,-16.579501571621016,10.505440099024357,0.23732876712328768,868.1840416341008,10.311997785696992,1.0,8.925333782872556,7.175752031186363,0.49212328767123287,129.08727206418672,73.13717830101197,0.06095890410958904,69.24367468500381,11.900413577451879,1.0,1,-0.49165296904845857,1.0425794174916685
AWS_B,2920.0,-17.432614955875522,11.248167111693482,0.26267123287671235,868.1840416341008,10.311997785696992,1.0,8.571447067783703,7.843923576962492,0.5503424657534246,128.86183393792825,78.9174749602076,0.15034246575342466,69.24367468500381,11.900413577451879,1.0,1,-0.6995354485145142,1.3160110613773557
Alessandra,101824.0,-15.664445206613525,8.789588251598614,0.1696063796354494,969.9236964892898,10.10357724971913,0.08441035512256442,2.720774099613759,2.5590871759801903,0.5143482872407291,194.39575571799105,114.1461404909598,0.16699402891263357,56.77721379310345,18.658732069060726,0.10998389377749843,0,1.8865737095280313,-0.6606590486519883
Alexander (TT!),6072.0,-21.16539847817381,9.814171432620272,0.5887681159420289,983.2041895604395,10.587875543047712,0.5204216073781291,8.120547417116423,4.103231859650204,0.5727931488801054,221.28226363008972,56.68392191113525,0.5227272727272727,75.50360576923077,10.591772507163196,0.5204216073781291,3,-0.312138023058076,1.4133210865547734
Allison,4616.0,-51.019423440453686,12.588941668735172,0.5415944540727903,688.7453113278318,10.292223630689012,0.7112218370883883,3.7797416020671832,2.3654665920135676,0.5808058925476604,83.78364389233954,93.97567796655383,0.5814558058925476,41.45378151260504,15.510383563627359,0.9742201039861352,2,-3.5502604437142233,-0.37691953085438845
AmeryG3,66936.0,-21.813673446642518,9.006173244356575,0.4638161826222063,979.4054176450855,9.561566068559783,0.10929843432532568,7.6598778451533525,4.935238054704876,0.6600035855145213,205.14992228345344,31.94042514176999,0.6828164216565077,75.48334504808764,11.460203705951297,0.12855563523365604,1,0.024510938558705384,0.8252224957941173
