horizon,target,mae,rmse,r2,model
1,temperature_c,1.0184613536149414,1.4307004494104256,0.9699772487211089,naive_persistence
1,wind_speed_ms,1.4660753403384879,1.9108427526118716,0.7617335764425842,naive_persistence
2,temperature_c,1.7055570836032539,2.2941888473614456,0.9228041639951743,naive_persistence
2,wind_speed_ms,2.179212301406232,2.84647770585955,0.4712530094560319,naive_persistence
4,temperature_c,2.5736026937213605,3.434070616719595,0.8270441975032261,naive_persistence
4,wind_speed_ms,2.9882893708132703,3.951505054480532,-0.01895617584127951,naive_persistence
8,temperature_c,3.0306026200021265,4.3382542813654235,0.7238963458074643,naive_persistence
8,wind_speed_ms,3.176734305375369,4.212986071442539,-0.1580277169249218,naive_persistence
