horizon,target,mae,rmse,r2,model
1,temperature_c,0.9202094915810001,1.3455685623799678,0.9734438737389529,arima
1,wind_speed_ms,1.3845198614833831,1.7945136977367895,0.7898610768423331,arima
2,temperature_c,1.5777594437749487,2.1541792546005167,0.9319388591105323,arima
2,wind_speed_ms,2.010269469271114,2.5511740426306333,0.5752704181678856,arima
4,temperature_c,2.506748094844583,3.323256787563386,0.8380263031562494,arima
4,wind_speed_ms,2.651863598170151,3.3808556051207215,0.25409474372143903,arima
8,temperature_c,3.033647259907187,4.234969123204559,0.7368867961222668,arima
8,wind_speed_ms,2.8346456009664314,3.5943816392494186,0.15707820786956672,arima
