horizon,target,mae,rmse,r2,model,station_id
1,temperature_c,3.4153095621810365,4.679515732463686,0.7764786356436757,naive_seasonal,Taishan
1,wind_speed_ms,1.9909246575342467,2.5824672436728426,0.0605935126843663,naive_seasonal,Taishan
2,temperature_c,3.918513967230728,5.155757765311409,0.7287794509173435,naive_seasonal,Taishan
2,wind_speed_ms,2.1152632285791033,2.7327925880833677,-0.05170040942560794,naive_seasonal,Taishan
4,temperature_c,4.955775584206285,6.2405985517273335,0.6028371392581996,naive_seasonal,Taishan
4,wind_speed_ms,2.3805197421434325,3.028727995267462,-0.290729615890998,naive_seasonal,Taishan
8,temperature_c,4.984383561643836,6.607259606694108,0.5551755968333187,naive_seasonal,Taishan
8,wind_speed_ms,2.4187818963201715,3.092425677862627,-0.3440555502565028,naive_seasonal,Taishan
1,temperature_c,1.3534246575342468,1.6260450264827668,0.973011276061999,naive_persistence,Taishan
1,wind_speed_ms,0.9130942788074135,1.171591543970782,0.8066534759645099,naive_persistence,Taishan
2,temperature_c,2.3073039215686273,2.7924038102153528,0.9204401371862794,naive_persistence,Taishan
2,wind_speed_ms,1.2634367445608379,1.6138434020168515,0.633223516124405,naive_persistence,Taishan
4,temperature_c,3.3880821917808226,4.214847796622944,0.8188326503499037,naive_persistence,Taishan
4,wind_speed_ms,1.7242009132420093,2.2011564209498524,0.31826350528162084,naive_persistence,Taishan
8,temperature_c,3.420849449368789,4.685471011318383,0.7763070107347886,naive_persistence,Taishan
8,wind_speed_ms,1.9949133763094278,2.5858583204036574,0.06021582136511239,naive_persistence,Taishan
1,temperature_c,0.9997274623859764,1.2864012372733677,0.9831084262191763,arima,Taishan
1,wind_speed_ms,0.8867887276839715,1.142177278455546,0.8162400158813241,arima,Taishan
2,temperature_c,1.7988973258680472,2.2518456752635947,0.9482613813443265,arima,Taishan
2,wind_speed_ms,1.1953960022047392,1.5331848479970933,0.6689697073498383,arima,Taishan
4,temperature_c,3.1204228479623257,3.8584845477825773,0.8481727698779368,arima,Taishan
4,wind_speed_ms,1.5721103665989375,2.0117046854904235,0.43056627320974605,arima,Taishan
8,temperature_c,4.02325609874325,5.184800285424379,0.7260887137559633,arima,Taishan
8,wind_speed_ms,1.8242336429194628,2.339421892738885,0.23080619700637717,arima,Taishan
1,temperature_c,1.0656329140672165,1.376519871390823,0.9806588547374422,tcn,Taishan
1,wind_speed_ms,0.8510728741885285,1.0841914654804972,0.8344245742649841,tcn,Taishan
2,temperature_c,1.4242359362348906,1.8395898588057145,0.9654713502707355,tcn,Taishan
2,wind_speed_ms,1.0679178623747467,1.3457012903739398,0.7449789447587425,tcn,Taishan
4,temperature_c,2.1556993638333277,2.845462286418354,0.917430090986941,tcn,Taishan
4,wind_speed_ms,1.3782297942295099,1.7438557972731326,0.5721063216957829,tcn,Taishan
8,temperature_c,3.0788744756698074,4.155856599523735,0.8240185184283912,tcn,Taishan
8,wind_speed_ms,1.731605460186374,2.170119770752541,0.3381095967837934,tcn,Taishan
1,temperature_c,1.4334332881583496,1.8266712247847472,0.9659405217196941,tft_pinn,Taishan
1,wind_speed_ms,0.9152783675093213,1.1645700387182338,0.8089640347094001,tft_pinn,Taishan
2,temperature_c,1.8079276845418297,2.286796204517261,0.9466428643844633,tft_pinn,Taishan
2,wind_speed_ms,1.172846447581915,1.4915597519712354,0.6867002757886551,tft_pinn,Taishan
4,temperature_c,2.752978099346979,3.459873430699217,0.8779222372310098,tft_pinn,Taishan
4,wind_speed_ms,1.5617249061678764,1.9830611932802327,0.4466665013136958,tft_pinn,Taishan
8,temperature_c,3.424849978394734,4.5014449348531915,0.7935334283831669,tft_pinn,Taishan
8,wind_speed_ms,1.921665123631172,2.415044222445405,0.18027373172990047,tft_pinn,Taishan
1,temperature_c,1.0584975308271516,1.3626956953661336,0.9810453842707886,tft,Taishan
1,wind_speed_ms,0.8795003299763673,1.1219649421651734,0.8226862211456527,tft,Taishan
2,temperature_c,1.4720017076768874,1.8799405688019317,0.9639399917535655,tft,Taishan
2,wind_speed_ms,1.1564250017364246,1.467247001430082,0.6968307411547908,tft,Taishan
4,temperature_c,2.2680002662123133,2.9763906101832722,0.9096566917425176,tft,Taishan
4,wind_speed_ms,1.5657066003294902,1.9894158434346214,0.44311454371394743,tft,Taishan
8,temperature_c,3.4651569830206372,4.635324973555121,0.7810695162119534,tft,Taishan
8,wind_speed_ms,1.9904319297994215,2.5017962581836364,0.12032438286532787,tft,Taishan
