horizon,target,mae,rmse,r2,model
1,temperature_c,3.4153095621810365,4.679515732463686,0.7764786356436757,naive_seasonal
1,wind_speed_ms,1.9909246575342467,2.5824672436728426,0.0605935126843663,naive_seasonal
2,temperature_c,3.918513967230728,5.155757765311409,0.7287794509173435,naive_seasonal
2,wind_speed_ms,2.1152632285791033,2.7327925880833677,-0.05170040942560794,naive_seasonal
4,temperature_c,4.955775584206285,6.2405985517273335,0.6028371392581996,naive_seasonal
4,wind_speed_ms,2.3805197421434325,3.028727995267462,-0.290729615890998,naive_seasonal
8,temperature_c,4.984383561643836,6.607259606694108,0.5551755968333187,naive_seasonal
8,wind_speed_ms,2.4187818963201715,3.092425677862627,-0.3440555502565028,naive_seasonal
