horizon,target,mae,rmse,r2,model
1,temperature_c,0.9997274623859764,1.2864012372733677,0.9831084262191763,arima
1,wind_speed_ms,0.8867887276839715,1.142177278455546,0.8162400158813241,arima
2,temperature_c,1.7988973258680472,2.2518456752635947,0.9482613813443265,arima
2,wind_speed_ms,1.1953960022047392,1.5331848479970933,0.6689697073498383,arima
4,temperature_c,3.1204228479623257,3.8584845477825773,0.8481727698779368,arima
4,wind_speed_ms,1.5721103665989375,2.0117046854904235,0.43056627320974605,arima
8,temperature_c,4.02325609874325,5.184800285424379,0.7260887137559633,arima
8,wind_speed_ms,1.8242336429194628,2.339421892738885,0.23080619700637717,arima
