horizon,target,mae,rmse,r2,model
1,temperature_c,1.3534246575342468,1.6260450264827668,0.973011276061999,naive_persistence
1,wind_speed_ms,0.9130942788074135,1.171591543970782,0.8066534759645099,naive_persistence
2,temperature_c,2.3073039215686273,2.7924038102153528,0.9204401371862794,naive_persistence
2,wind_speed_ms,1.2634367445608379,1.6138434020168515,0.633223516124405,naive_persistence
4,temperature_c,3.3880821917808226,4.214847796622944,0.8188326503499037,naive_persistence
4,wind_speed_ms,1.7242009132420093,2.2011564209498524,0.31826350528162084,naive_persistence
8,temperature_c,3.420849449368789,4.685471011318383,0.7763070107347886,naive_persistence
8,wind_speed_ms,1.9949133763094278,2.5858583204036574,0.06021582136511239,naive_persistence
