horizon,target,mae,rmse,r2,model
1,temperature_c,4.750209570643498,6.701937790689526,0.6753712363638658,naive_seasonal
1,wind_speed_ms,0.9263522056899776,1.6396058355685135,-0.09189479602189454,naive_seasonal
2,temperature_c,5.150836962124665,7.020011869318073,0.6439109896543875,naive_seasonal
2,wind_speed_ms,0.9859737651867372,1.7273117327633694,-0.21183455306172072,naive_seasonal
4,temperature_c,6.032951499216864,7.757962295948352,0.5654029304429307,naive_seasonal
4,wind_speed_ms,1.1037168857839446,1.8871360242734778,-0.47257604010217746,naive_seasonal
8,temperature_c,5.79036341040054,7.724414869747509,0.5693337544769197,naive_seasonal
8,wind_speed_ms,1.1392755926124647,1.9742474275181232,-0.6375418955810488,naive_seasonal
