horizon,target,mae,rmse,r2,model
1,temperature_c,1.5563356042472796,2.4928751721462983,0.9550854267451905,arima
1,wind_speed_ms,0.42311331978217315,0.767699758964546,0.7606217465641438,arima
2,temperature_c,2.664084083370436,3.7954520420466693,0.8959097877265337,arima
2,wind_speed_ms,0.5882529806236643,1.0338361252271204,0.565884499868953,arima
4,temperature_c,4.052430918863151,5.424084675176108,0.7875560411714309,arima
4,wind_speed_ms,0.7252338383947339,1.2731071067596829,0.3298049673606579,arima
8,temperature_c,4.801405896325709,6.430728227231178,0.7015098777753492,arima
8,wind_speed_ms,0.790252376319549,1.376438796058179,0.2040183269007072,arima
