horizon,target,mae,rmse,r2,model,station_id
1,temperature_c,4.750209570643499,6.701937790689526,0.6753712363638658,naive_seasonal,Kunlun
1,wind_speed_ms,0.9263522056899776,1.6396058355685135,-0.09189479602189454,naive_seasonal,Kunlun
2,temperature_c,5.150836962124665,7.020011869318073,0.6439109896543875,naive_seasonal,Kunlun
2,wind_speed_ms,0.9859737651867372,1.7273117327633694,-0.21183455306172072,naive_seasonal,Kunlun
4,temperature_c,6.032951499216864,7.757962295948352,0.5654029304429307,naive_seasonal,Kunlun
4,wind_speed_ms,1.1037168857839446,1.8871360242734778,-0.47257604010217746,naive_seasonal,Kunlun
8,temperature_c,5.79036341040054,7.724414869747509,0.5693337544769197,naive_seasonal,Kunlun
8,wind_speed_ms,1.1392755926124647,1.9742474275181232,-0.6375418955810488,naive_seasonal,Kunlun
1,temperature_c,1.7304932958893835,2.621212206010667,0.9503418453743057,naive_persistence,Kunlun
1,wind_speed_ms,0.4352485556495877,0.7976278101768778,0.7415940788742215,naive_persistence,Kunlun
2,temperature_c,2.904464518842107,4.062504233176548,0.8807466656537962,naive_persistence,Kunlun
2,wind_speed_ms,0.6252434372874636,1.1132765712605466,0.4966060120688609,naive_persistence,Kunlun
4,temperature_c,4.304183036404623,5.812558817937159,0.7560357526907949,naive_persistence,Kunlun
4,wind_speed_ms,0.8229820761104358,1.451945903185507,0.12828967311579142,naive_persistence,Kunlun
8,temperature_c,4.746462929568642,6.699412133417515,0.6760462267294798,naive_persistence,Kunlun
8,wind_speed_ms,0.9157672672555717,1.6142513466652244,-0.0947918939866279,naive_persistence,Kunlun
1,temperature_c,1.55633560424728,2.4928751721462983,0.9550854267451905,arima,Kunlun
1,wind_speed_ms,0.42311331978217304,0.767699758964546,0.7606217465641438,arima,Kunlun
2,temperature_c,2.664084083370436,3.7954520420466693,0.8959097877265337,arima,Kunlun
2,wind_speed_ms,0.5882529806236644,1.0338361252271204,0.565884499868953,arima,Kunlun
4,temperature_c,4.052430918863151,5.424084675176108,0.7875560411714309,arima,Kunlun
4,wind_speed_ms,0.7252338383947339,1.2731071067596829,0.3298049673606579,arima,Kunlun
8,temperature_c,4.801405896325709,6.430728227231178,0.7015098777753492,arima,Kunlun
8,wind_speed_ms,0.7902523763195489,1.376438796058179,0.2040183269007072,arima,Kunlun
1,temperature_c,1.9324968243123508,2.7846739497574795,0.943955252439759,tcn,Kunlun
1,wind_speed_ms,0.4905491669651334,0.750723767397434,0.7710913434522393,tcn,Kunlun
2,temperature_c,2.5621150649098383,3.5473136815147717,0.9090752604675203,tcn,Kunlun
2,wind_speed_ms,0.6143308711099877,0.9672258599866135,0.6200226721842538,tcn,Kunlun
4,temperature_c,3.628171774269341,4.758718774899626,0.836479749141221,tcn,Kunlun
4,wind_speed_ms,0.7393004188481017,1.1898834734660517,0.4145629755765705,tcn,Kunlun
8,temperature_c,4.46488398453085,5.629220721232659,0.771278912595132,tcn,Kunlun
8,wind_speed_ms,0.8103615777086798,1.3253942989459453,0.26196075693403587,tcn,Kunlun
1,temperature_c,3.049907404775716,4.217310627936751,0.8714543472658958,tft_pinn,Kunlun
1,wind_speed_ms,0.5349540599626597,0.828792873995755,0.7210066176194341,tft_pinn,Kunlun
2,temperature_c,3.445158421486131,4.692952318427349,0.8408615362835548,tft_pinn,Kunlun
2,wind_speed_ms,0.7127972033050199,1.0904728785826991,0.5170172470161145,tft_pinn,Kunlun
4,temperature_c,4.493316824898431,5.797182961140192,0.7573247539759614,tft_pinn,Kunlun
4,wind_speed_ms,0.9202201478777778,1.4067253679166623,0.181742568610337,tft_pinn,Kunlun
8,temperature_c,5.029769589231753,6.5080492228634155,0.6942888281031805,tft_pinn,Kunlun
8,wind_speed_ms,1.090734167853606,1.6478810251904898,-0.14088262054059242,tft_pinn,Kunlun
1,temperature_c,2.3637202054407296,3.5259167347969944,0.9101474684887564,tft,Kunlun
1,wind_speed_ms,0.597491658859549,0.8898868640823264,0.6783589453123302,tft,Kunlun
2,temperature_c,3.059295045646219,4.349175821070186,0.8633225688454682,tft,Kunlun
2,wind_speed_ms,0.7604122425368849,1.1498023409120397,0.4630321764956008,tft,Kunlun
4,temperature_c,4.450987483424885,5.877652228570407,0.7505409659256379,tft,Kunlun
4,wind_speed_ms,0.9364362056805802,1.3871570040939298,0.20434910101911097,tft,Kunlun
8,temperature_c,5.410151105648656,7.2976600826894265,0.6156057232119383,tft,Kunlun
8,wind_speed_ms,1.1726458062150045,1.6384085450640573,-0.12780409485430355,tft,Kunlun
